Institute,Branch Name,Quota,Category,Seat Pool,Opening Rank,Closing Rank,Round No,State
NIT Jalandhar,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,10836,10836,7,Punjab
NIT Jalandhar,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,32748,53704,7,Punjab
NIT Jalandhar,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,44991,55029,7,Punjab
NIT Jalandhar,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,8756,14222,7,Punjab
NIT Jalandhar,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-Only,10515,11168,7,Punjab
NIT Jalandhar,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,8551,10111,7,Punjab
NIT Jalandhar,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-Only,13425,14032,7,Punjab
NIT Jalandhar,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,4222,4522,7,Punjab
NIT Jalandhar,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-Only,5550,5550,7,Punjab
NIT Jalandhar,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,16533,31792,7,Punjab
NIT Jalandhar,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-Only,34754,39781,7,Punjab
NIT Jalandhar,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OPEN-PwD,Gender-Neutral,2058,2058,7,Punjab
NIT Jalandhar,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,4148,5307,7,Punjab
NIT Jalandhar,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-Only,6876,7829,7,Punjab
NIT Jalandhar,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,2135,2282,7,Punjab
NIT Jalandhar,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-Only,3061,3061,7,Punjab
NIT Jalandhar,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,13246,66379,7,Punjab
NIT Jalandhar,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,67335,86769,7,Punjab
NIT Jalandhar,"Civil Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,8005,9709,7,Punjab
NIT Jalandhar,"Civil Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,12000,12000,7,Punjab
NIT Jalandhar,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,34514,48106,7,Punjab
NIT Jalandhar,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,32776,55261,7,Punjab
NIT Jalandhar,"Civil Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,7117,9804,7,Punjab
NIT Jalandhar,"Civil Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-Only,9584,9584,7,Punjab
NIT Jalandhar,"Civil Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,10134,12576,7,Punjab
NIT Jalandhar,"Civil Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-Only,4163,4163,7,Punjab
NIT Jalandhar,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,7240,8460,7,Punjab
NIT Jalandhar,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-Only,12958,14239,7,Punjab
NIT Jalandhar,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL-PwD,Gender-Neutral,1241,1241,7,Punjab
NIT Jalandhar,"Civil Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,3705,3801,7,Punjab
NIT Jalandhar,"Civil Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-Only,5941,5941,7,Punjab
NIT Jalandhar,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,23920,28616,7,Punjab
NIT Jalandhar,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-Only,38016,41956,7,Punjab
NIT Jalandhar,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OPEN-PwD,Gender-Neutral,662,662,7,Punjab
NIT Jalandhar,"Civil Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,2727,4448,7,Punjab
NIT Jalandhar,"Civil Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-Only,6169,6169,7,Punjab
NIT Jalandhar,"Civil Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1005,1146,7,Punjab
NIT Jalandhar,"Civil Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-Only,2020,2020,7,Punjab
NIT Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,3463,9385,7,Punjab
NIT Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,9565,12682,7,Punjab
NIT Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,1547,3355,7,Punjab
NIT Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,5204,5204,7,Punjab
NIT Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,5378,10800,7,Punjab
NIT Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,9851,14638,7,Punjab
NIT Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,444,444,7,Punjab
NIT Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,271,2109,7,Punjab
NIT Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-Only,6100,6100,7,Punjab
NIT Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,1128,5039,7,Punjab
NIT Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-Only,1553,1553,7,Punjab
NIT Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,2141,3176,7,Punjab
NIT Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-Only,6039,7160,7,Punjab
NIT Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL-PwD,Gender-Neutral,134,134,7,Punjab
NIT Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,1110,1140,7,Punjab
NIT Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-Only,2009,2009,7,Punjab
NIT Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,7199,9667,7,Punjab
NIT Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-Only,10262,13987,7,Punjab
NIT Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN-PwD,Gender-Neutral,243,243,7,Punjab
NIT Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,1515,1828,7,Punjab
NIT Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-Only,2508,2508,7,Punjab
NIT Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC-PwD,Gender-Neutral,187,187,7,Punjab
NIT Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,831,993,7,Punjab
NIT Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-Only,1581,1581,7,Punjab
NIT Jalandhar,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,10749,26722,7,Punjab
NIT Jalandhar,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,24430,24430,7,Punjab
NIT Jalandhar,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,5023,5771,7,Punjab
NIT Jalandhar,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,9920,9920,7,Punjab
NIT Jalandhar,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,20397,27654,7,Punjab
NIT Jalandhar,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,32378,34604,7,Punjab
NIT Jalandhar,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,2459,2459,7,Punjab
NIT Jalandhar,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,6305,7329,7,Punjab
NIT Jalandhar,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-Only,6753,6753,7,Punjab
NIT Jalandhar,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,1940,1940,7,Punjab
NIT Jalandhar,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,5355,5668,7,Punjab
NIT Jalandhar,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-Only,10799,10799,7,Punjab
NIT Jalandhar,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,2247,2260,7,Punjab
NIT Jalandhar,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-Only,3501,3501,7,Punjab
NIT Jalandhar,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,15360,18057,7,Punjab
NIT Jalandhar,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-Only,24383,25828,7,Punjab
NIT Jalandhar,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,OPEN-PwD,Gender-Neutral,1070,1070,7,Punjab
NIT Jalandhar,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,2884,3273,7,Punjab
NIT Jalandhar,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-Only,4463,4463,7,Punjab
NIT Jalandhar,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1333,1348,7,Punjab
NIT Jalandhar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,12014,20933,7,Punjab
NIT Jalandhar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,12732,18521,7,Punjab
NIT Jalandhar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,3975,5162,7,Punjab
NIT Jalandhar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,9367,9367,7,Punjab
NIT Jalandhar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,14942,18724,7,Punjab
NIT Jalandhar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,26059,31645,7,Punjab
NIT Jalandhar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,868,868,7,Punjab
NIT Jalandhar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,3064,5763,7,Punjab
NIT Jalandhar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-Only,4917,4917,7,Punjab
NIT Jalandhar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,4035,5083,7,Punjab
NIT Jalandhar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-Only,8729,9531,7,Punjab
NIT Jalandhar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL-PwD,Gender-Neutral,809,809,7,Punjab
NIT Jalandhar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,1786,1865,7,Punjab
NIT Jalandhar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-Only,2672,2672,7,Punjab
NIT Jalandhar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,9380,15011,7,Punjab
NIT Jalandhar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-Only,18750,21245,7,Punjab
NIT Jalandhar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN-PwD,Gender-Neutral,1061,1061,7,Punjab
NIT Jalandhar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,2473,3310,7,Punjab
NIT Jalandhar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-Only,4228,4228,7,Punjab
NIT Jalandhar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1267,1789,7,Punjab
NIT Jalandhar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-Only,2129,2129,7,Punjab
NIT Jalandhar,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,9070,37443,7,Punjab
NIT Jalandhar,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,33626,39499,7,Punjab
NIT Jalandhar,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,6519,7633,7,Punjab
NIT Jalandhar,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,12235,12235,7,Punjab
NIT Jalandhar,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,18960,35515,7,Punjab
NIT Jalandhar,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,35191,52330,7,Punjab
NIT Jalandhar,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,4503,8523,7,Punjab
NIT Jalandhar,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-Only,6196,6196,7,Punjab
NIT Jalandhar,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,3159,19163,7,Punjab
NIT Jalandhar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,5089,7220,7,Punjab
NIT Jalandhar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-Only,11903,14528,7,Punjab
NIT Jalandhar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,2746,2890,7,Punjab
NIT Jalandhar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-Only,5181,5181,7,Punjab
NIT Jalandhar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,16071,22026,7,Punjab
NIT Jalandhar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-Only,26505,37353,7,Punjab
NIT Jalandhar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OPEN-PwD,Gender-Neutral,1479,1479,7,Punjab
NIT Jalandhar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,2961,4027,7,Punjab
NIT Jalandhar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-Only,6543,6543,7,Punjab
NIT Jalandhar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1070,1456,7,Punjab
NIT Jalandhar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-Only,3291,3291,7,Punjab
NIT Jalandhar,"Textile Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,70962,275246,7,Punjab
NIT Jalandhar,"Textile Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,123120,211765,7,Punjab
NIT Jalandhar,"Textile Technology (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,16658,20304,7,Punjab
NIT Jalandhar,"Textile Technology (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,20096,20096,7,Punjab
NIT Jalandhar,"Textile Technology (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,32176,91133,7,Punjab
NIT Jalandhar,"Textile Technology (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,62334,80472,7,Punjab
NIT Jalandhar,"Textile Technology (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,11674,18681,7,Punjab
NIT Jalandhar,"Textile Technology (4 Years, Bachelor of Technology)",HS,SC,Female-Only,13664,14715,7,Punjab
NIT Jalandhar,"Textile Technology (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,11191,13724,7,Punjab
NIT Jalandhar,"Textile Technology (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-Only,17881,18327,7,Punjab
NIT Jalandhar,"Textile Technology (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,5469,5511,7,Punjab
NIT Jalandhar,"Textile Technology (4 Years, Bachelor of Technology)",OS,EWS,Female-Only,7448,7448,7,Punjab
NIT Jalandhar,"Textile Technology (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,36012,42411,7,Punjab
NIT Jalandhar,"Textile Technology (4 Years, Bachelor of Technology)",OS,OPEN,Female-Only,44996,49951,7,Punjab
NIT Jalandhar,"Textile Technology (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,5419,7764,7,Punjab
NIT Jalandhar,"Textile Technology (4 Years, Bachelor of Technology)",OS,SC,Female-Only,9376,9477,7,Punjab
NIT Jalandhar,"Textile Technology (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,2826,3644,7,Punjab
NIT Jalandhar,"Textile Technology (4 Years, Bachelor of Technology)",OS,ST,Female-Only,5207,5207,7,Punjab
NIT Jalandhar,"Information Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,9445,15161,7,Punjab
NIT Jalandhar,"Information Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,14127,14127,7,Punjab
NIT Jalandhar,"Information Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL-PwD,Gender-Neutral,220,220,7,Punjab
NIT Jalandhar,"Information Technology (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,3572,3659,7,Punjab
NIT Jalandhar,"Information Technology (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,6722,6722,7,Punjab
NIT Jalandhar,"Information Technology (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,10981,13479,7,Punjab
NIT Jalandhar,"Information Technology (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,17775,22750,7,Punjab
NIT Jalandhar,"Information Technology (4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,603,603,7,Punjab
NIT Jalandhar,"Information Technology (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,2323,3017,7,Punjab
NIT Jalandhar,"Information Technology (4 Years, Bachelor of Technology)",HS,SC,Female-Only,9809,9809,7,Punjab
NIT Jalandhar,"Information Technology (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,9286,9286,7,Punjab
NIT Jalandhar,"Information Technology (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,3358,4461,7,Punjab
NIT Jalandhar,"Information Technology (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-Only,8141,8141,7,Punjab
NIT Jalandhar,"Information Technology (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,1413,1429,7,Punjab
NIT Jalandhar,"Information Technology (4 Years, Bachelor of Technology)",OS,EWS,Female-Only,2164,2164,7,Punjab
NIT Jalandhar,"Information Technology (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,9794,10836,7,Punjab
NIT Jalandhar,"Information Technology (4 Years, Bachelor of Technology)",OS,OPEN,Female-Only,14310,16284,7,Punjab
NIT Jalandhar,"Information Technology (4 Years, Bachelor of Technology)",OS,OPEN-PwD,Gender-Neutral,354,354,7,Punjab
NIT Jalandhar,"Information Technology (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,1924,2524,7,Punjab
NIT Jalandhar,"Information Technology (4 Years, Bachelor of Technology)",OS,SC,Female-Only,4036,4036,7,Punjab
NIT Jalandhar,"Information Technology (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1273,1303,7,Punjab
NIT Jalandhar,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,40675,81237,7,Punjab
NIT Jalandhar,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,30320,40715,7,Punjab
NIT Jalandhar,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,7226,11107,7,Punjab
NIT Jalandhar,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,10329,10329,7,Punjab
NIT Jalandhar,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,30736,41988,7,Punjab
NIT Jalandhar,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,28668,41953,7,Punjab
NIT Jalandhar,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,8025,12786,7,Punjab
NIT Jalandhar,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-Only,10867,11208,7,Punjab
NIT Jalandhar,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,7983,10306,7,Punjab
NIT Jalandhar,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-Only,15051,16156,7,Punjab
NIT Jalandhar,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,3872,4256,7,Punjab
NIT Jalandhar,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-Only,6708,6708,7,Punjab
NIT Jalandhar,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,20669,30299,7,Punjab
NIT Jalandhar,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-Only,26066,39922,7,Punjab
NIT Jalandhar,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,3969,6503,7,Punjab
NIT Jalandhar,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-Only,7998,8605,7,Punjab
NIT Jalandhar,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,2550,2780,7,Punjab
NIT Jalandhar,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-Only,4229,4229,7,Punjab
NIT Jalandhar,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,51938,341500,7,Punjab
NIT Jalandhar,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,31960,220876,7,Punjab
NIT Jalandhar,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,10992,14243,7,Punjab
NIT Jalandhar,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,11729,11729,7,Punjab
NIT Jalandhar,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,43939,83356,7,Punjab
NIT Jalandhar,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,69094,88172,7,Punjab
NIT Jalandhar,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,10005,18134,7,Punjab
NIT Jalandhar,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-Only,15191,15191,7,Punjab
NIT Jalandhar,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,10546,12661,7,Punjab
NIT Jalandhar,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-Only,12906,16551,7,Punjab
NIT Jalandhar,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,5018,5200,7,Punjab
NIT Jalandhar,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-Only,7664,7664,7,Punjab
NIT Jalandhar,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,32034,39381,7,Punjab
